size_bytes,access_type,run,latency_ns
4194304,post_migration,16,39788600
4194304,cpu_baseline,17,2364400
4194304,post_migration,17,40984700
4194304,cpu_baseline,18,2032700
4194304,post_migration,18,39637700
4194304,cpu_baseline,19,2130300
4194304,post_migration,19,42128600
4194304,cpu_baseline,20,2108300
4194304,post_migration,20,38240800
4194304,cpu_baseline,21,2359500
4194304,post_migration,21,39885400
4194304,cpu_baseline,22,2008900
4194304,post_migration,22,39684600
4194304,cpu_baseline,23,2597300
4194304,post_migration,23,39333200
4194304,cpu_baseline,24,2119300
4194304,post_migration,24,42958000
4194304,cpu_baseline,25,2134600
4194304,post_migration,25,39452700
4194304,cpu_baseline,26,2136900
4194304,post_migration,26,38364100
4194304,cpu_baseline,27,2068000
4194304,post_migration,27,38873800
4194304,cpu_baseline,28,2163200
4194304,post_migration,28,40105500
4194304,cpu_baseline,29,2511600
4194304,post_migration,29,40181300
8388608,cpu_baseline,0,82410600
8388608,post_migration,0,79457700
8388608,cpu_baseline,1,4174600
8388608,post_migration,1,79514900
8388608,cpu_baseline,2,4714500
8388608,post_migration,2,83310000
8388608,cpu_baseline,3,4306100
8388608,post_migration,3,79051500
8388608,cpu_baseline,4,5293600
8388608,post_migration,4,79394300
8388608,cpu_baseline,5,5398400
8388608,post_migration,5,80381900
8388608,cpu_baseline,6,5276300
8388608,post_migration,6,79806300
8388608,cpu_baseline,7,4576800
8388608,post_migration,7,78856800
8388608,cpu_baseline,8,4906300
8388608,post_migration,8,77662600
8388608,cpu_baseline,9,4109200
8388608,post_migration,9,80118400
8388608,cpu_baseline,10,4790300
8388608,post_migration,10,79537400
8388608,cpu_baseline,11,4625100
8388608,post_migration,11,80373900
8388608,cpu_baseline,12,4144300
8388608,post_migration,12,82048300
8388608,cpu_baseline,13,5664800
8388608,post_migration,13,79360100
8388608,cpu_baseline,14,4529500
8388608,post_migration,14,80088000
8388608,cpu_baseline,15,4573400
8388608,post_migration,15,79210900
8388608,cpu_baseline,16,4364100
8388608,post_migration,16,81549600
8388608,cpu_baseline,17,5038300
8388608,post_migration,17,78206700
8388608,cpu_baseline,18,4796800
8388608,post_migration,18,82236100
8388608,cpu_baseline,19,4682400
8388608,post_migration,19,81928300
8388608,cpu_baseline,20,4815400
8388608,post_migration,20,79221800
8388608,cpu_baseline,21,5525400
8388608,post_migration,21,80857800
8388608,cpu_baseline,22,9234000
8388608,post_migration,22,82201900
8388608,cpu_baseline,23,5402100
8388608,post_migration,23,83433900
8388608,cpu_baseline,24,4564200
8388608,post_migration,24,82081400
8388608,cpu_baseline,25,4814100
